index,variable,value
334,Z,5.0
335,Z,6.0
337,Z,4.0
339,Z,4.0
340,Z,1.0
341,Z,5.0
342,Z,8.0
343,Z,8.0
344,Z,3.0
345,Z,5.0
346,Z,5.0
347,Z,3.0
348,Z,9.0
349,Z,4.0
350,Z,3.0
351,Z,7.0
352,Z,5.0
353,Z,5.0
354,Z,6.0
355,Z,7.0
356,Z,5.0
358,Z,3.0
360,Z,5.0
361,Z,8.0
363,Z,5.0
364,Z,4.0
365,Z,8.0
366,Z,9.0
367,Z,3.0
368,Z,6.0
369,Z,2.0
370,Z,3.0
371,Z,8.0
373,Z,6.0
374,Z,7.0
375,Z,3.0
376,Z,1.0
377,Z,1.0
378,Z,1.0
379,Z,0.5
380,Z,7.0
381,Z,3.0
382,Z,5.0
384,Z,3.0
386,Z,4.0
387,Z,2.0
388,Z,5.0
389,Z,7.0
390,Z,3.0
391,Z,1.0
392,Z,8.0
393,Z,5.0
394,Z,6.0
395,Z,8.0
397,Z,6.0
398,Z,5.0
399,Z,4.0
400,Z,3.0
401,Z,2.0
402,Z,3.0
403,Z,3.0
404,Z,3.0
405,Z,4.0
406,Z,3.0
407,Z,3.0
408,Z,1.0
409,Z,3.0
410,Z,3.0
411,Z,4.0
412,Z,7.0
413,Z,2.0
414,Z,3.0
415,Z,6.0
416,Z,4.0
417,Z,2.0
418,Z,7.0
419,Z,7.0
420,Z,4.0
421,Z,4.0
422,Z,2.0
423,Z,2.0
424,Z,3.0
425,Z,6.0
426,Z,5.0
427,Z,3.0
428,Z,6.0
429,Z,6.0
430,Z,3.0
431,Z,5.0
432,Z,4.0
433,Z,2.0
434,Z,4.0
436,Z,5.0
437,Z,3.0
438,Z,3.0
439,Z,2.0
440,Z,3.0
441,Z,2.0
443,Z,4.0
444,Z,4.0
445,Z,2.0
446,Z,3.0
448,Z,3.0
454,Z,4.0
455,Z,3.0
456,Z,3.0
457,Z,4.0
458,Z,4.0
459,Z,7.0
460,Z,4.0
461,Z,3.0
462,Z,3.0
463,Z,5.0
464,Z,6.0
465,Z,4.0
466,Z,6.0
467,Z,0.5
468,Z,0.5
469,Z,0.5
470,Z,0.5
471,Z,0.5
472,Z,0.5
473,Z,2.0
334,L,5.0
335,L,11.0
337,L,5.0
339,L,4.0
340,L,2.0
341,L,5.0
342,L,8.0
343,L,8.0
344,L,8.0
345,L,5.0
346,L,6.0
347,L,3.0
348,L,9.0
349,L,5.0
350,L,6.0
351,L,7.0
352,L,5.0
353,L,5.0
354,L,5.0
355,L,8.0
356,L,5.0
358,L,5.0
360,L,4.0
361,L,7.0
363,L,5.0
364,L,4.0
365,L,5.0
366,L,5.0
367,L,5.0
368,L,10.0
369,L,3.0
370,L,5.0
371,L,8.0
373,L,7.0
374,L,10.0
375,L,4.0
376,L,3.0
377,L,3.0
378,L,2.0
379,L,0.5
380,L,4.0
381,L,5.0
382,L,4.0
384,L,4.0
386,L,6.0
387,L,3.0
388,L,6.0
389,L,6.0
390,L,4.0
391,L,2.0
392,L,5.0
393,L,5.0
394,L,5.0
395,L,8.0
397,L,7.0
398,L,4.0
399,L,5.0
400,L,5.0
401,L,3.0
402,L,3.0
403,L,3.0
404,L,4.0
405,L,6.0
406,L,3.0
407,L,5.0
408,L,2.0
409,L,5.0
410,L,8.0
411,L,8.0
412,L,7.0
413,L,3.0
414,L,3.0
415,L,6.0
416,L,7.0
417,L,4.0
418,L,7.0
419,L,8.0
420,L,4.0
421,L,5.0
422,L,4.0
423,L,3.0
424,L,4.0
425,L,5.0
426,L,5.0
427,L,6.0
428,L,6.0
429,L,8.0
430,L,3.0
431,L,4.0
432,L,4.0
433,L,2.0
434,L,3.0
436,L,6.0
437,L,3.0
438,L,6.0
