,Genus,Species,Sample ID,Species Code,Site,River,Basin,Lat,Long,Date Collected,Length (mm),Status Upon Collection,Final Age,Age dif,Z age,L age,B age,K&M Age
293,Lampsilis,teres,336,E,"Bay City, TX",Colorado,Colorado,29.126034°,-96.044864°,2020-05-05,139.0,Alive,5.0,0,5.0,5.0,5.0,
294,Lampsilis,teres,337,E,"Bay City, TX",Colorado,Colorado,29.126034°,-96.044864°,2020-05-05,121.0,Alive,6.0,3,6.0,9.0,6.0,
295,Lampsilis,teres,338,E,"Bay City, TX",Colorado,Colorado,29.126034°,-96.044864°,2020-05-05,141.0,Alive,4.0,0,4.0,4.0,4.0,
296,Lampsilis,teres,339,E,"Bay City, TX",Colorado,Colorado,29.126034°,-96.044864°,2020-05-05,107.0,Alive,4.0,1,4.0,5.0,4.0,
297,Lampsilis,teres,340,E,"Bay City, TX",Colorado,Colorado,29.126034°,-96.044864°,2020-05-05,111.0,Alive,3.0,0,3.0,3.0,3.0,
298,Lampsilis,teres,341,E,"Bay City, TX",Colorado,Colorado,29.126034°,-96.044864°,2020-05-05,114.0,Alive,4.0,0,4.0,4.0,5.0,
299,Lampsilis,teres,342,E,"Bay City, TX",Colorado,Colorado,29.126034°,-96.044864°,2020-05-05,74.0,Alive,2.0,1,1.0,2.0,2.0,
300,Lampsilis,teres,343,E,"Bay City, TX",Colorado,Colorado,29.126034°,-96.044864°,2020-05-05,113.0,Alive,5.0,0,5.0,5.0,5.0,
301,Lampsilis,teres,344,E,"Bay City, TX",Colorado,Colorado,29.126034°,-96.044864°,2020-05-05,124.0,Alive,8.0,0,8.0,8.0,8.0,
302,Lampsilis,teres,345,E,"Bay City, TX",Colorado,Colorado,29.126034°,-96.044864°,2020-05-05,135.0,Alive,8.0,0,8.0,8.0,8.0,
303,Lampsilis,teres,346,E,"Bay City, TX",Colorado,Colorado,29.126034°,-96.044864°,2020-05-05,119.0,Alive,3.0,2,3.0,5.0,4.0,
304,Lampsilis,teres,347,E,"Bay City, TX",Colorado,Colorado,29.126034°,-96.044864°,2020-05-05,110.0,Alive,5.0,0,5.0,5.0,5.0,
305,Lampsilis,teres,348,E,"Bay City, TX",Colorado,Colorado,29.126034°,-96.044864°,2020-05-05,107.0,Alive,5.0,1,5.0,6.0,5.0,
306,Lampsilis,teres,349,E,"Bay City, TX",Colorado,Colorado,29.126034°,-96.044864°,2020-05-05,114.0,Alive,3.0,0,3.0,3.0,3.0,
307,Lampsilis,teres,350,E,"Bay City, TX",Colorado,Colorado,29.126034°,-96.044864°,2020-05-05,130.0,Alive,9.0,0,9.0,9.0,9.0,
308,Lampsilis,teres,351,E,"Bay City, TX",Colorado,Colorado,29.126034°,-96.044864°,2020-05-05,106.0,Alive,4.0,1,4.0,5.0,4.0,
309,Lampsilis,teres,352,E,"Bay City, TX",Colorado,Colorado,29.126034°,-96.044864°,2020-05-05,109.0,Alive,4.0,3,3.0,6.0,5.0,
