,Sample ID,Final Age,ager,age
0,336,5.0,Z age,5.0
1,337,6.0,Z age,6.0
2,338,4.0,Z age,4.0
3,339,4.0,Z age,4.0
4,340,3.0,Z age,3.0
5,341,4.0,Z age,4.0
6,342,2.0,Z age,1.0
7,343,5.0,Z age,5.0
8,344,8.0,Z age,8.0
9,345,8.0,Z age,8.0
10,346,3.0,Z age,3.0
11,347,5.0,Z age,5.0
12,348,5.0,Z age,5.0
13,349,3.0,Z age,3.0
14,350,9.0,Z age,9.0
15,351,4.0,Z age,4.0
16,352,4.0,Z age,3.0
17,353,7.0,Z age,7.0
18,354,5.0,Z age,5.0
19,355,5.0,Z age,5.0
20,356,5.0,Z age,6.0
21,357,7.0,Z age,7.0
22,358,5.0,Z age,5.0
23,360,3.0,Z age,3.0
24,362,4.0,Z age,5.0
25,363,7.0,Z age,8.0
26,365,5.0,Z age,5.0
27,366,4.0,Z age,4.0
28,367,7.0,Z age,8.0
29,368,8.0,Z age,9.0
30,369,5.0,Z age,3.0
31,370,6.0,Z age,6.0
32,371,3.0,Z age,2.0
33,372,4.0,Z age,3.0
34,373,8.0,Z age,8.0
35,375,6.0,Z age,6.0
36,376,9.0,Z age,7.0
37,377,3.0,Z age,3.0
38,378,2.0,Z age,1.0
39,379,2.0,Z age,1.0
40,380,1.0,Z age,1.0
41,381,0.5,Z age,0.5
42,382,6.0,Z age,7.0
43,383,5.0,Z age,3.0
44,384,5.0,Z age,5.0
45,386,3.0,Z age,3.0
46,387,3.0,Z age,3.0
47,388,4.0,Z age,4.0
48,389,6.0,Z age,2.0
49,390,6.0,Z age,5.0
50,391,6.0,Z age,7.0
51,392,3.0,Z age,3.0
52,393,2.0,Z age,1.0
53,394,9.0,Z age,8.0
54,395,5.0,Z age,5.0
55,396,6.0,Z age,6.0
56,397,8.0,Z age,8.0
57,399,6.0,Z age,6.0
58,400,4.0,Z age,5.0
59,401,4.0,Z age,4.0
60,402,3.0,Z age,3.0
61,403,3.0,Z age,2.0
62,404,3.0,Z age,3.0
63,405,3.0,Z age,3.0
64,406,3.0,Z age,3.0
65,407,5.0,Z age,4.0
66,408,3.0,Z age,3.0
67,409,3.0,Z age,3.0
68,410,2.0,Z age,1.0
69,411,4.0,Z age,3.0
70,412,5.0,Z age,3.0
71,413,6.0,Z age,4.0
72,414,7.0,Z age,7.0
73,415,3.0,Z age,2.0
74,416,3.0,Z age,3.0
75,417,6.0,Z age,6.0
76,418,5.0,Z age,4.0
77,419,2.0,Z age,2.0
78,420,7.0,Z age,7.0
79,421,4.0,Z age,7.0
80,422,4.0,Z age,4.0
81,423,5.0,Z age,4.0
82,424,3.0,Z age,2.0
83,425,3.0,Z age,2.0
84,426,4.0,Z age,3.0
85,427,5.0,Z age,6.0
86,428,5.0,Z age,5.0
87,429,4.0,Z age,3.0
88,430,6.0,Z age,6.0
89,431,4.0,Z age,6.0
90,432,3.0,Z age,3.0
91,433,4.0,Z age,5.0
92,434,4.0,Z age,4.0
93,435,2.0,Z age,2.0
94,436,4.0,Z age,4.0
95,438,6.0,Z age,5.0
96,439,3.0,Z age,3.0
97,440,4.0,Z age,3.0
98,441,2.0,Z age,2.0
99,442,3.0,Z age,3.0
100,443,3.0,Z age,2.0
101,445,6.0,Z age,4.0
102,446,4.0,Z age,4.0
103,447,3.0,Z age,2.0
104,448,3.0,Z age,3.0
105,449,3.0,Z age,3.0
106,450,3.0,Z age,3.0
107,456,4.0,Z age,4.0
108,457,3.0,Z age,3.0
109,458,3.0,Z age,3.0
110,459,5.0,Z age,4.0
111,460,4.0,Z age,4.0
112,461,7.0,Z age,7.0
113,462,4.0,Z age,4.0
114,463,3.0,Z age,3.0
115,464,4.0,Z age,3.0
116,465,5.0,Z age,5.0
117,466,6.0,Z age,6.0
118,467,4.0,Z age,4.0
119,468,5.0,Z age,6.0
120,469,0.5,Z age,0.5
121,470,0.5,Z age,0.5
122,471,0.5,Z age,0.5
123,472,0.5,Z age,0.5
124,473,0.5,Z age,0.5
125,474,0.5,Z age,0.5
126,475,4.0,Z age,2.0
127,336,5.0,L age,5.0
128,337,6.0,L age,9.0
129,338,4.0,L age,4.0
130,339,4.0,L age,5.0
131,340,3.0,L age,3.0
132,341,4.0,L age,4.0
133,342,2.0,L age,2.0
134,343,5.0,L age,5.0
135,344,8.0,L age,8.0
136,345,8.0,L age,8.0
137,346,3.0,L age,5.0
138,347,5.0,L age,5.0
139,348,5.0,L age,6.0
140,349,3.0,L age,3.0
141,350,9.0,L age,9.0
142,351,4.0,L age,5.0
143,352,4.0,L age,6.0
144,353,7.0,L age,7.0
145,354,5.0,L age,5.0
146,355,5.0,L age,5.0
147,356,5.0,L age,5.0
148,357,7.0,L age,8.0
149,358,5.0,L age,5.0
150,360,3.0,L age,5.0
151,362,4.0,L age,4.0
152,363,7.0,L age,7.0
153,365,5.0,L age,5.0
154,366,4.0,L age,4.0
155,367,7.0,L age,5.0
